rank	char	frequency_weight
5541	洹	4.090938482788514e-07
5542	艏	4.090827256277672e-07
5543	莼	4.080794158136516e-07
5544	箬	4.071013574236191e-07
5545	熘	4.070388300877942e-07
5546	芩	4.060872255706107e-07
5547	樾	4.060860231218449e-07
5548	鲮	4.060742992463777e-07
5549	缁	4.05101952487983e-07
5550	鳟	4.050703882078791e-07
5551	眙	4.04085415737443e-07
5552	萁	4.021058512064436e-07
5553	钤	4.021052499820607e-07
5554	趺	4.010878113949462e-07
5555	磡	4.010057442666761e-07
5556	鸮	4.000842009686391e-07
5557	纮	4.000754832150866e-07
5558	椴	3.990667623815246e-07
5559	酽	3.961091394604928e-07
5560	龉	3.960923051777708e-07
5561	崤	3.960817837510695e-07
5562	澶	3.96073065997517e-07
5563	哚	3.960676549780706e-07
5564	钚	3.960607408976669e-07
5565	黼	3.951094369926748e-07
5566	蠃	3.95108234543909e-07
5567	脔	3.951019216878882e-07
5568	炔	3.950622408786147e-07
5569	嵯	3.930889892036362e-07
5570	珰	3.930847806329556e-07
5571	蟊	3.901067160829042e-07
5572	鲢	3.900372746666756e-07
5573	蟥	3.890895781079811e-07
5574	蹚	3.890667315814298e-07
5575	鹕	3.880384709554225e-07
5576	猱	3.871006945990464e-07
5577	刈	3.870661241970278e-07
5578	焐	3.860943786630161e-07
5579	阇	3.860664217292099e-07
5580	筚	3.860471825489561e-07
5581	膂	3.850907682367091e-07
5582	蕤	3.850808480343907e-07
5583	裢	3.840991822980606e-07
5584	甾	3.820186120707288e-07
5585	罴	3.810853448972248e-07
5586	挹	3.81079032041204e-07
5587	悭	3.8006580202477e-07
5588	蚍	3.800378450909637e-07
5589	耒	3.790853387372058e-07
5590	蝣	3.790357377256139e-07
5591	颙	3.78101268103344e-07
5592	镉	3.760212991003951e-07
5593	镱	3.751120809022083e-07
5594	篁	3.75066087236914e-07
5595	酢	3.740597713008838e-07
5596	羧	3.740068635551857e-07
5597	阋	3.73066682301278e-07
5598	徂	3.710898232800018e-07
5599	溧	3.710501424707284e-07
5600	荭	3.691102587490026e-07
5601	伧	3.691057495661306e-07
5602	穑	3.681030409763979e-07
5603	楝	3.680931207740795e-07
5604	鲔	3.680783907766977e-07
5605	跸	3.671003323866652e-07
5606	粿	3.670074432195023e-07
5607	啁	3.610973077846936e-07
5608	庑	3.610798722775886e-07
5609	舸	3.610552220778884e-07
5610	侘	3.600059185984786e-07
5611	柝	3.590909887686539e-07
5612	獬	3.590729520371659e-07
5613	蓖	3.590513079593804e-07
5614	怿	3.580888814033042e-07
5615	荜	3.580882801789212e-07
5616	垆	3.580621269182637e-07
5617	疖	3.58042286513627e-07
5618	鸱	3.570570134309993e-07
5619	褙	3.570395779238943e-07
5620	蚋	3.561018015675182e-07
