# code	text	rank	freq_rank
ya	涯	1	2067
ya	亚	1	665
ya	鸦	1	2502
ya	睚	1	4697
ya	压	1	763
ya	丫	1	1311
ya	迓	1	5900
ya	伢	1	4553
yab	娅	1	2238
yabf	娅	1	2238
yac	蚜	1	5974
yacl	蚜	1	5974
yad	吖	1	1416
yad	呀	1	523
yad	哑	1	2104
yadf	哑	1	2104
yadh	吖	1	1416
yadl	呀	1	523
yae	桠	1	4647
yaef	桠	1	4647
yaf	亚	1	665
yafc	亚	1	665
yag	堐	1	7351
yag	垭	1	5353
yagf	垭	1	5353
yagx	堐	1	7351
yah	丫	1	1311
yahg	丫	1	1311
yaj	伢	1	4553
yajl	伢	1	4553
yak	涯	1	2067
yakx	涯	1	2067
yal	牙	1	965
yal	雅	1	817
yal	芽	1	3150
